JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,20,32,70,24,55,36,7,83,16,3,81,85,77,90,63,71,50,83,45,29
2,38,92,66,66,72,57,83,48,32,76,3,53,14,92,37,7,64,35,57,45
3,94,86,21,10,45,95,96,88,7,97,6,95,83,25,19,18,4,46,7,27
4,43,28,16,68,8,11,56,47,2,24,31,70,9,12,37,60,5,64,90,56
5,6,75,16,76,39,25,1,96,88,17,36,55,82,28,3,45,71,13,95,18
6,28,82,77,48,21,80,58,20,13,6,43,85,51,62,81,43,39,67,49,29
7,26,56,18,58,9,35,99,18,24,1,50,29,47,78,88,82,29,21,12,57
8,69,87,42,32,39,3,22,99,47,80,40,15,18,1,96,84,40,60,38,36
9,37,31,36,87,32,24,41,26,76,85,75,1,90,38,52,35,49,86,51,15
10,42,57,87,78,33,61,77,56,71,42,52,43,49,2,34,60,38,20,88,38
11,2,90,1,60,21,98,83,58,38,79,74,20,33,31,90,71,74,18,97,42
12,12,60,51,75,59,31,17,33,81,98,91,17,57,26,63,42,53,73,12,72
13,74,15,64,58,29,85,18,38,74,8,71,81,48,89,55,65,7,9,31,46
14,73,59,68,31,90,39,62,17,13,96,6,46,3,37,17,98,56,63,36,68
15,35,4,19,98,43,57,45,45,40,68,13,7,22,7,18,25,68,86,84,6
16,51,51,5,52,70,95,6,22,56,12,47,73,95,81,64,16,27,39,54,86
17,73,48,45,90,14,4,88,66,65,35,31,83,43,32,26,75,28,71,65,51
18,33,7,89,21,81,53,11,89,17,97,93,38,61,8,42,16,88,63,97,2
19,18,96,82,67,61,73,47,91,2,23,35,70,98,8,10,56,56,80,96,2
20,57,84,22,56,48,46,99,77,84,66,46,79,1,64,53,71,52,8,13,10
21,21,77,43,38,52,89,97,54,49,81,32,54,62,72,31,5,94,77,93,89
22,92,80,15,96,84,28,6,84,92,6,56,43,16,55,43,47,50,36,89,22
23,9,68,36,30,52,68,83,82,27,98,1,80,82,1,21,45,14,38,91,68
24,40,1,69,2,76,63,72,88,52,25,35,5,50,93,45,7,43,70,22,31
25,56,7,73,24,31,26,89,85,92,67,97,1,96,68,34,84,95,52,92,6
26,43,8,31,42,89,54,44,18,92,24,94,3,18,61,96,50,93,87,32,98
27,19,70,26,3,53,28,59,89,35,64,38,34,90,38,1,31,33,38,91,48
28,8,16,19,10,72,63,14,84,58,37,84,11,78,69,21,32,89,9,35,47
29,69,99,89,76,10,28,82,13,44,76,53,73,60,53,39,63,64,20,81,76
30,87,37,83,21,73,84,51,78,96,73,90,57,23,89,87,74,45,82,17,56
31,1,24,30,49,38,30,40,21,75,49,59,92,8,54,4,8,22,86,95,16
32,76,38,26,96,71,47,16,75,16,34,61,9,73,48,18,13,33,9,15,27
33,70,42,73,83,15,55,74,60,62,43,32,83,15,20,7,8,53,22,89,2
34,76,67,38,70,71,84,88,48,44,75,67,23,25,41,28,13,34,46,93,48
35,87,23,13,23,11,51,93,73,97,30,13,19,95,78,29,13,96,14,47,8
36,80,69,17,1,24,23,5,61,25,51,52,28,24,41,25,80,93,7,3,26
37,20,47,39,97,25,42,56,68,17,60,39,74,73,10,70,22,32,55,65,19
38,99,96,65,71,9,30,14,78,84,93,58,45,6,73,81,6,13,28,28,52
39,17,88,19,90,91,46,9,30,89,90,26,76,61,11,6,73,62,49,87,26
40,28,30,21,82,73,26,58,37,64,55,64,89,32,51,71,89,36,61,1,86
41,46,71,67,40,13,38,16,20,66,56,99,56,15,56,18,32,1,14,45,93
42,28,78,4,62,50,20,6,26,98,47,1,7,73,27,15,3,10,16,2,52
43,13,41,18,51,36,33,57,46,28,85,40,22,91,17,68,30,99,81,13,38
44,77,1,13,65,51,48,33,81,34,49,3,76,35,85,15,75,72,93,53,55
45,5,86,80,50,19,48,89,89,6,14,72,97,32,72,11,74,32,19,82,63
46,79,12,85,12,53,4,56,64,43,36,42,11,8,16,86,61,79,2,13,71
47,13,66,52,28,35,81,95,3,74,28,68,18,26,38,99,1,99,20,82,76
48,8,25,3,59,75,88,95,60,67,80,52,85,63,13,94,20,30,2,60,71
49,59,4,34,91,84,69,93,7,68,24,84,36,58,17,19,64,92,65,9,38
50,33,78,72,1,22,59,34,75,54,2,90,44,89,39,21,23,47,41,99,28
51,12,29,25,25,59,72,57,13,60,65,98,2,89,67,70,28,55,49,23,98
52,96,1,44,79,97,35,79,21,69,22,58,77,21,22,23,54,45,67,61,8
53,28,91,50,15,76,10,65,76,22,64,85,51,53,16,88,66,51,41,69,33
54,7,63,5,75,15,87,19,70,79,35,11,79,88,62,8,99,99,22,43,25
55,34,89,39,87,20,13,98,61,54,5,44,39,14,70,35,93,39,57,57,85
56,95,21,64,12,16,12,43,49,99,52,89,50,25,17,37,54,7,6,20,23
57,15,35,85,98,30,42,70,63,71,62,17,31,91,49,64,70,22,80,70,75
58,75,70,58,79,82,65,53,44,95,12,50,24,12,31,77,74,79,47,93,38
59,86,64,27,68,21,76,38,59,26,14,43,48,73,46,9,42,37,91,19,42
60,18,50,78,87,44,21,83,43,39,43,75,4,30,16,16,24,36,79,9,85
61,5,68,69,63,60,68,9,65,1,73,73,47,78,5,39,90,87,91,10,99
62,87,74,75,53,59,90,28,21,61,50,85,6,34,73,57,31,33,25,69,26
63,63,22,36,62,34,67,78,29,54,32,61,58,90,25,4,28,31,12,13,47
