JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,67,83,32,90,29,1,3,69,86,7,30,93,93,50,26,37,60,61,24,2
2,36,3,16,43,62,92,55,66,86,83,34,79,20,14,47,67,55,79,70,85
3,11,92,22,68,37,69,73,34,86,54,13,58,54,85,50,21,73,55,25,31
4,30,66,61,4,58,48,13,53,78,63,53,19,23,59,56,20,58,90,51,43
5,18,10,38,47,18,4,10,63,38,80,85,24,4,98,78,97,32,87,73,56
6,10,84,12,96,79,57,5,53,9,28,77,95,61,15,9,24,48,47,60,30
7,54,91,83,2,22,77,4,73,58,76,74,3,61,70,48,61,16,52,72,38
8,97,68,1,91,90,13,14,27,98,27,24,59,93,97,95,24,6,24,55,33
9,63,65,86,72,52,36,96,19,15,41,83,33,91,54,74,78,30,49,91,28
10,88,7,52,44,93,57,11,1,27,26,96,52,4,33,43,33,98,99,26,2
11,93,11,32,29,58,97,55,35,64,61,96,97,50,44,70,50,1,5,97,15
12,79,66,94,57,52,82,40,33,59,15,55,98,20,75,58,23,7,89,73,75
13,61,67,16,61,3,60,91,78,59,40,55,35,85,68,62,43,34,36,1,25
14,51,93,2,16,12,94,44,3,38,52,4,49,77,37,67,43,77,95,28,1
15,23,96,72,97,67,80,12,84,72,4,4,36,22,4,27,90,94,31,50,16
16,82,14,4,76,47,97,47,56,7,10,96,97,67,65,38,42,67,69,41,83
17,70,59,74,27,30,6,30,71,56,6,20,56,40,41,64,99,74,29,6,35
18,80,8,38,90,86,46,98,91,38,61,28,30,97,3,40,24,97,61,23,77
19,90,75,1,66,95,41,99,66,61,88,42,70,28,77,62,87,5,87,89,92
20,90,8,92,67,17,37,10,53,59,43,15,12,42,38,99,93,74,43,59,71
21,46,69,30,97,47,79,36,22,71,88,67,5,20,75,36,96,53,58,53,79
22,56,71,74,69,8,6,41,37,19,6,55,86,2,30,26,34,86,51,18,29
23,37,42,93,47,30,81,65,10,8,26,10,4,39,1,49,51,66,73,98,93
24,2,24,21,62,3,79,83,17,61,66,84,68,16,67,27,7,27,64,80,9
