JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,33,69,31,57,62,45,8,37,73,2,69,33,72,25,23,55,47,39,1,85
2,14,15,79,97,99,23,89,93,68,24,70,46,86,62,59,41,41,98,53,36
3,40,10,46,45,22,52,3,27,36,8,29,55,90,84,11,67,36,93,27,51
4,96,93,5,84,45,2,67,46,7,14,26,82,30,74,82,70,16,82,25,34
5,28,92,36,9,69,55,97,5,2,75,73,13,77,10,59,32,32,68,76,83
6,33,57,93,86,56,86,96,37,14,51,85,33,48,74,25,97,11,73,96,4
7,93,71,2,23,6,49,24,29,64,81,68,61,43,55,48,13,7,14,71,37
8,37,92,2,92,2,50,24,18,83,93,69,4,98,51,22,25,98,44,9,11
9,30,96,98,90,2,95,77,52,91,71,97,68,40,34,71,73,29,21,16,12
10,80,69,71,12,67,62,20,44,82,71,41,40,61,44,32,92,48,74,78,97
11,53,85,68,68,36,73,65,14,81,34,43,25,4,53,95,2,67,46,97,73
12,95,9,90,29,11,93,11,8,61,20,75,22,16,13,64,96,40,19,96,71
13,78,77,51,7,85,92,49,28,3,75,50,68,39,69,4,46,99,77,88,2
14,78,51,35,60,60,1,17,45,81,83,6,70,9,62,30,38,2,30,13,11
15,87,6,30,24,12,26,78,35,56,59,65,49,22,58,15,58,62,75,68,53
16,18,11,5,95,51,45,94,38,44,12,84,42,53,60,22,10,92,32,33,12
17,74,21,13,57,59,4,53,90,18,18,58,65,94,79,66,69,91,56,5,80
18,71,56,53,53,55,30,64,64,37,81,85,15,52,83,42,14,61,88,91,82
19,25,2,28,67,77,32,84,72,12,32,34,45,91,41,96,48,69,78,73,79
20,99,28,79,53,80,23,23,59,16,47,79,22,90,95,42,90,96,49,75,19
21,89,29,46,48,54,91,13,38,68,30,48,41,72,95,54,31,30,82,4,42
22,51,58,50,29,28,58,97,96,12,6,7,82,19,61,72,50,41,7,32,46
23,2,75,22,25,33,15,88,25,32,17,73,99,69,1,14,44,1,54,90,37
24,25,45,7,37,69,60,94,81,1,89,98,14,34,1,49,7,23,22,82,11
25,9,5,39,40,87,67,50,59,62,54,60,57,91,37,34,18,28,32,95,36
26,52,55,88,40,46,70,66,94,6,75,6,6,72,85,47,4,28,11,3,11
27,84,4,32,14,11,49,16,11,53,72,20,90,92,24,5,68,65,27,76,33
28,50,60,93,14,71,1,32,18,35,80,40,63,79,87,40,73,22,7,87,70
29,40,73,17,72,82,12,25,71,22,61,27,68,54,7,36,19,23,17,64,92
30,78,57,28,99,84,43,69,37,38,7,92,73,30,27,69,82,48,5,3,81
31,77,41,48,71,89,49,4,8,50,23,77,66,50,46,28,25,87,35,29,73
32,3,75,35,7,16,5,93,95,36,57,75,76,16,3,53,9,50,68,79,56
33,75,37,63,9,62,37,44,29,99,29,54,57,76,73,55,72,42,9,65,31
34,50,64,38,14,26,89,92,7,9,75,43,72,36,31,69,77,51,93,12,31
35,21,49,72,47,69,97,18,18,33,36,62,41,47,6,8,55,64,73,36,22
36,44,75,20,29,39,99,58,61,25,79,10,12,33,39,14,21,53,77,28,14
37,94,59,8,52,97,81,40,86,27,34,93,78,94,91,93,19,39,80,63,51
38,98,50,14,59,61,73,60,48,14,62,23,78,79,90,9,44,35,34,9,4
39,53,5,75,76,26,79,73,87,1,71,22,45,41,58,48,86,17,28,45,36
40,52,81,10,49,32,56,55,17,17,74,47,95,66,76,41,23,18,28,88,81
41,45,81,11,95,16,30,89,63,5,12,50,42,1,10,62,77,17,60,42,47
