JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,46,7,90,90,68,53,9,90,31,1,57,81,68,60,82,39,44,94,55,43
2,89,38,91,28,28,89,96,40,5,72,38,39,60,33,81,75,19,62,50,26
3,86,33,70,80,98,9,9,65,66,19,52,15,97,45,3,17,68,41,47,74
4,50,58,93,1,82,92,78,45,13,4,20,95,51,38,27,80,27,2,59,13
5,49,9,55,41,99,85,95,14,14,35,11,70,71,92,15,18,91,25,56,49
6,38,31,10,24,91,92,35,53,15,95,27,80,46,85,68,52,83,78,44,78
7,62,87,85,86,3,63,48,39,6,62,87,92,40,32,9,43,84,6,31,17
8,6,97,62,53,64,97,26,36,21,7,98,92,80,2,47,65,57,29,79,86
9,24,63,60,94,71,68,14,79,7,57,21,35,90,30,90,13,9,55,81,9
10,19,82,55,45,2,63,61,33,93,1,30,38,72,85,30,25,57,30,69,56
11,6,80,35,76,51,49,47,69,25,88,13,31,75,74,1,32,60,74,97,5
12,78,57,30,83,62,56,5,82,42,40,59,27,75,1,65,51,27,65,81,70
13,81,39,38,56,42,98,80,18,32,42,30,55,30,50,52,26,92,45,47,56
14,83,42,2,88,29,61,71,73,50,69,7,94,15,87,42,76,46,96,89,53
15,41,7,42,49,81,94,12,25,73,50,18,91,22,9,13,92,55,63,52,1
16,84,70,5,40,32,93,84,54,31,13,22,11,10,39,78,3,57,24,12,37
17,75,92,79,23,6,4,18,15,70,99,86,47,45,27,7,63,54,42,45,10
18,10,6,16,85,29,7,17,39,57,65,76,91,43,60,43,13,34,14,85,63
19,31,7,73,67,93,90,21,54,22,41,32,20,83,73,83,40,82,77,51,57
20,41,72,37,50,14,1,45,40,47,28,13,64,79,27,30,10,41,90,39,28
21,58,81,50,58,55,94,28,21,87,77,64,29,83,20,78,58,65,87,14,94
22,10,35,85,60,72,89,88,8,30,6,57,22,22,67,2,53,32,78,75,69
23,95,81,7,21,14,61,92,68,36,34,46,19,55,1,7,42,87,70,88,6
24,9,89,43,71,63,56,17,74,48,54,61,23,17,7,54,7,2,73,43,91
25,62,3,6,56,43,9,11,34,33,42,23,14,87,5,34,50,59,12,98,67
26,61,2,47,39,3,85,89,70,19,26,18,8,27,10,98,58,61,35,73,24
27,50,36,38,26,68,70,72,33,70,80,3,48,93,11,9,7,96,16,61,19
28,91,6,68,18,70,37,50,52,12,25,94,16,80,7,60,16,54,5,40,93
29,10,48,45,68,55,95,66,30,98,46,99,62,49,60,33,75,81,14,46,9
30,69,78,72,78,95,3,87,94,78,41,94,90,36,64,52,90,52,26,87,8
31,53,58,65,93,40,67,67,93,25,96,96,39,93,38,53,41,52,83,62,31
32,29,13,44,17,60,62,71,15,57,80,88,44,57,56,88,6,67,27,44,84
33,79,31,53,35,10,19,14,96,37,15,76,31,38,26,5,37,32,95,40,61
34,24,60,37,57,80,95,96,65,73,76,20,22,47,20,10,41,68,41,30,14
35,53,74,32,71,28,44,42,62,69,42,12,63,97,32,86,97,31,32,25,37
36,7,82,24,57,53,77,13,60,25,8,66,96,42,38,2,62,13,48,53,2
37,70,71,77,8,70,21,23,5,37,8,47,83,15,73,16,17,47,6,61,83
38,97,3,62,48,14,17,7,17,43,31,87,13,53,7,36,81,57,41,90,55
39,89,21,33,61,60,12,38,44,12,52,18,15,21,6,91,99,70,6,4,47
40,77,33,99,16,90,85,51,96,69,92,30,1,99,1,11,57,1,95,76,75
41,43,92,54,51,19,21,62,8,42,67,2,28,86,63,8,23,33,7,38,99
42,72,47,42,14,32,80,87,80,74,88,51,21,24,61,84,70,75,14,13,14
43,63,15,58,31,87,35,24,39,70,12,56,24,59,84,92,24,89,50,5,45
44,8,85,10,36,52,71,47,69,33,34,38,64,87,42,56,24,93,50,88,45
45,20,52,35,2,1,78,82,74,63,31,13,46,24,16,59,77,50,12,11,26
46,6,54,75,59,45,54,49,24,29,28,20,45,48,93,28,7,69,75,2,31
47,90,81,2,28,67,70,14,69,23,77,45,33,47,8,76,32,18,11,66,8
48,62,98,93,12,14,85,23,91,15,25,59,90,50,96,77,65,15,33,58,24
49,47,55,29,66,91,70,99,90,71,75,56,89,83,65,59,10,13,12,27,68
50,86,45,97,60,61,39,33,9,57,44,55,61,97,27,36,65,19,74,86,56
51,8,69,17,74,93,70,68,40,73,90,50,46,54,28,65,56,81,87,85,89
52,44,78,16,77,48,35,30,76,90,57,62,36,77,86,68,29,69,90,41,98
53,83,79,93,68,66,65,23,6,31,59,3,97,13,32,61,64,89,65,5,42
54,78,84,6,61,63,87,96,35,70,56,9,57,76,6,82,3,2,17,27,35
55,67,62,95,16,83,93,98,52,41,55,58,98,63,71,69,79,46,8,55,67
56,92,28,74,5,73,17,31,57,60,69,34,44,49,45,4,67,17,31,26,93
57,94,26,77,19,96,52,31,40,52,20,79,25,61,29,9,91,22,88,24,24
58,57,50,86,16,14,77,38,70,83,39,30,93,98,46,46,65,11,71,21,4
59,98,13,41,41,88,57,39,43,97,28,74,24,71,63,70,10,69,7,80,88
60,98,67,6,88,29,51,47,19,75,12,59,70,43,97,39,57,32,43,85,57
61,6,53,94,49,48,75,59,12,60,10,16,46,61,3,84,7,24,69,36,38
62,90,68,40,32,45,78,25,53,23,81,14,11,81,47,15,90,1,5,22,92
63,27,79,37,21,46,28,64,39,19,78,26,17,71,52,98,83,6,55,7,95
64,55,70,48,54,83,55,72,79,74,11,51,40,17,47,17,89,94,99,61,28
65,44,90,59,23,79,9,68,25,11,77,30,91,87,9,85,5,4,81,21,75
66,1,63,14,85,64,39,20,50,27,32,75,85,37,57,50,79,82,49,23,29
67,37,13,23,48,35,19,92,95,83,55,12,70,72,64,2,65,81,83,65,84
68,40,50,38,20,99,45,83,65,69,10,48,86,46,97,18,78,75,28,23,82
69,27,69,59,94,67,13,20,61,90,9,87,16,69,4,65,70,98,9,26,28
70,21,46,53,12,91,94,43,98,54,47,62,29,31,80,31,14,59,7,27,58
71,83,54,42,56,59,77,70,77,87,83,46,10,15,36,82,26,36,32,55,29
72,3,51,24,96,81,9,5,13,79,69,21,5,73,54,53,97,55,63,37,74
73,22,50,91,56,59,58,85,50,85,74,62,4,4,87,88,4,16,10,36,83
74,46,57,70,7,50,11,18,59,72,25,10,94,23,40,4,5,9,4,36,13
75,69,98,31,7,92,51,29,76,85,20,53,45,29,17,26,17,70,15,25,24
76,57,50,41,46,33,54,97,39,97,62,12,95,60,91,33,77,40,47,9,59
77,44,92,61,50,34,26,13,85,23,64,18,9,95,85,26,43,91,29,15,74
78,84,78,62,17,76,59,21,51,90,73,32,89,2,35,55,80,58,92,5,31
79,60,25,63,13,2,68,4,86,63,31,71,11,77,67,47,86,31,29,35,7
80,61,98,71,78,46,41,25,69,27,10,56,66,35,55,37,10,62,52,82,30
81,25,34,30,33,53,14,58,25,85,87,48,74,38,2,96,54,28,25,79,90
82,97,17,30,37,36,63,65,63,18,71,31,95,75,75,23,1,6,9,47,35
83,28,14,49,42,76,34,32,41,17,27,51,52,56,73,80,54,65,61,11,27
84,33,22,12,49,67,78,26,61,24,63,83,17,46,82,9,88,19,42,86,59
85,95,97,24,36,99,20,37,68,10,99,47,48,55,34,48,30,58,40,88,5
86,38,43,3,30,48,46,90,64,6,80,11,58,97,6,82,1,50,98,6,21
87,49,67,4,75,24,92,92,25,25,60,44,37,10,32,6,22,58,1,48,80
88,45,35,63,14,10,85,97,86,83,62,31,95,26,97,2,97,93,29,31,44
89,79,25,26,62,87,67,59,64,59,84,46,2,14,60,85,88,76,50,95,57
90,82,25,14,80,58,39,5,44,33,33,75,65,79,3,59,75,67,62,15,97
91,47,92,30,27,65,11,48,4,9,10,44,57,7,16,56,6,18,37,97,44
92,47,52,27,13,17,4,15,56,4,5,62,54,90,46,6,5,51,47,89,1
93,86,23,6,67,27,5,6,23,37,61,41,53,11,17,62,24,60,67,30,67
94,25,62,60,26,65,55,63,64,84,83,23,58,93,57,41,86,30,58,60,53
95,90,18,71,53,14,71,98,14,25,67,61,60,66,47,8,62,39,33,79,56
96,96,53,42,16,38,5,71,90,14,9,13,61,83,17,33,16,96,11,7,1
97,40,74,24,43,69,90,16,82,93,48,73,69,25,34,2,60,94,67,24,7
98,21,70,30,4,12,52,46,96,23,9,76,13,31,51,75,75,18,24,9,95
99,30,19,54,80,49,5,31,32,23,29,43,98,54,50,63,38,39,66,75,58
100,7,66,13,25,97,52,40,46,63,91,42,1,46,60,77,51,43,38,15,50
101,20,71,53,23,65,57,43,7,62,86,22,16,66,2,3,77,84,92,95,47
102,23,39,2,11,64,18,16,84,23,14,66,99,20,48,58,1,55,44,81,68
103,58,44,20,11,38,42,93,9,41,90,42,47,94,9,34,32,31,38,16,91
104,79,17,51,61,90,83,89,24,10,25,29,10,51,57,4,1,18,43,27,80
105,65,93,15,81,31,4,68,42,55,2,11,23,47,51,8,47,3,81,6,51
106,3,65,27,53,92,66,58,1,47,6,50,77,35,8,63,70,21,56,69,85
107,29,6,69,21,33,50,22,77,61,28,51,75,89,4,89,92,57,12,98,67
108,19,99,72,39,94,27,24,37,67,68,90,35,23,32,48,74,19,64,49,93
109,96,61,42,99,91,7,96,62,86,88,10,27,7,71,67,12,33,35,23,39
110,5,59,8,35,66,62,62,57,73,75,61,13,34,49,59,93,74,84,15,44
111,53,41,75,48,68,12,15,94,96,2,45,79,45,68,51,57,20,23,97,62
112,47,10,9,52,7,71,73,15,22,11,98,76,11,59,87,69,48,41,37,87
113,97,61,61,95,24,38,25,21,74,11,73,76,31,18,64,35,12,85,44,34
114,23,55,7,78,92,92,7,84,34,16,27,54,80,77,83,87,60,51,13,74
