JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,7,95,11,90,49,27,6,30,59,4,93,37,81,55,5,88,52,28,89,72
2,63,70,54,36,45,90,76,3,95,28,36,59,40,23,15,71,86,71,60,55
3,48,63,96,74,67,39,90,50,76,86,82,36,75,65,26,69,71,98,86,3
4,89,62,27,52,70,21,45,49,95,34,36,57,87,49,91,50,92,46,55,77
5,83,59,96,44,9,94,3,88,76,57,98,97,87,45,47,58,12,56,15,53
6,24,8,61,10,85,74,20,4,12,61,2,38,53,50,38,88,66,62,3,54
7,58,40,34,94,13,21,75,7,82,20,31,97,50,2,29,52,50,29,52,77
8,2,83,81,72,77,55,20,81,10,67,12,26,37,49,71,44,81,76,67,60
9,43,64,73,83,62,52,5,98,60,99,52,34,41,42,32,95,69,52,86,18
10,4,45,4,44,97,60,36,67,60,13,63,45,38,59,36,29,28,64,97,79
11,49,95,34,53,5,24,1,2,94,25,5,14,62,10,85,41,80,89,97,10
12,29,12,13,21,8,69,22,58,1,77,8,13,97,38,62,86,66,27,27,73
13,71,53,77,9,72,79,86,48,45,41,92,94,57,9,8,84,14,40,73,90
14,67,68,2,3,21,78,8,88,44,11,5,22,96,12,5,60,12,95,58,27
15,82,2,7,73,74,87,12,55,23,77,60,64,22,56,20,91,74,97,1,58
16,83,92,4,8,89,46,16,6,69,12,10,5,39,3,8,23,62,47,76,60
17,73,76,77,25,67,5,24,43,13,53,3,2,92,83,85,81,64,85,25,22
18,94,57,27,88,8,76,58,15,97,14,3,61,70,31,41,18,16,38,4,20
19,11,91,37,67,45,16,10,10,91,15,37,95,6,75,23,64,43,82,20,25
20,16,40,64,59,16,68,77,96,53,85,14,38,11,32,64,52,8,66,49,99
21,52,25,40,28,51,87,81,71,29,33,16,66,51,48,7,77,59,73,83,37
22,33,4,80,65,40,97,15,72,74,6,6,4,12,49,14,44,59,64,46,98
23,16,62,50,34,71,22,78,39,22,80,28,61,96,1,28,47,27,22,93,99
24,55,56,32,66,83,67,50,95,5,60,72,95,66,87,40,7,64,19,61,50
25,4,9,8,7,74,84,29,12,22,80,34,44,1,1,34,51,64,71,89,74
26,33,61,73,43,33,39,22,41,79,73,82,1,62,37,46,95,59,63,61,85
27,53,37,20,90,95,6,3,67,18,55,55,76,89,51,97,92,2,49,6,63
28,66,71,45,6,74,27,95,51,81,92,30,58,78,50,2,89,57,11,82,24
