JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,80,21,91,24,36,10,4,23,44,6,18,41,89,84,85,21,57,17,79,58
2,12,25,29,73,89,58,62,12,23,32,1,72,92,83,69,2,33,43,67,75
3,57,16,47,4,14,26,79,73,17,65,36,18,61,45,42,70,6,3,45,55
4,83,32,50,20,95,39,24,52,83,53,47,32,44,23,2,30,69,9,86,21
5,40,26,57,79,48,34,7,71,51,39,23,81,98,81,34,84,92,44,54,22
6,14,59,29,34,15,63,43,70,10,72,19,43,59,27,52,79,21,52,8,5
7,23,8,67,66,19,91,28,84,99,57,93,34,57,47,9,91,93,44,32,18
8,65,73,61,52,53,60,16,45,36,40,53,48,74,48,21,64,64,8,26,9
9,56,32,49,76,22,8,33,45,30,27,6,99,41,50,93,18,10,83,56,25
10,27,20,36,77,29,58,52,89,38,55,85,50,15,75,41,64,9,54,16,61
11,46,6,99,37,74,73,37,90,8,16,66,3,21,66,75,80,93,33,97,47
12,63,15,34,12,5,44,34,8,40,36,39,4,79,62,59,77,92,35,58,74
13,64,29,3,11,59,66,24,68,87,7,34,22,76,49,11,24,28,4,58,80
14,57,85,68,45,81,56,98,31,7,38,4,73,83,62,79,81,22,62,5,42
15,76,98,83,23,37,49,45,74,89,94,55,78,22,54,25,24,87,20,34,63
16,49,73,4,20,28,47,36,72,93,11,34,66,25,44,94,36,32,62,20,9
17,71,32,42,93,76,6,94,94,9,88,47,38,90,88,5,93,38,15,45,64
18,19,57,2,23,60,23,52,66,58,45,20,8,88,78,40,22,70,86,17,58
19,97,80,46,67,12,99,36,48,71,97,40,45,20,10,49,79,18,85,66,69
20,32,52,49,64,50,15,32,35,90,24,47,54,32,69,87,14,19,84,23,81
21,15,22,34,8,49,82,51,5,90,37,83,91,30,99,59,24,88,63,63,32
22,16,49,10,2,52,36,32,49,37,6,6,25,5,36,55,37,77,22,61,52
23,30,49,79,43,11,29,69,52,13,44,82,23,25,1,42,50,53,89,97,62
24,86,67,58,96,96,75,6,10,9,31,47,77,98,74,31,7,6,16,41,88
25,98,14,75,73,62,2,8,63,81,7,8,31,10,64,35,85,1,12,83,13
26,15,68,58,46,20,8,76,88,53,70,58,95,53,89,44,87,91,15,20,61
27,23,71,8,67,80,63,88,24,83,39,90,62,86,78,90,17,38,70,36,92
28,83,82,95,96,76,53,59,83,29,5,20,53,76,13,62,6,92,15,77,77
29,59,76,6,87,91,77,57,36,12,22,33,89,77,92,48,95,88,30,34,28
30,15,75,51,85,40,6,95,5,74,72,85,7,5,77,39,51,33,17,62,79
31,72,72,77,83,84,74,50,60,52,28,3,71,78,76,29,59,26,42,95,44
32,97,27,98,66,38,73,81,17,54,63,22,5,46,85,12,24,81,31,20,40
33,56,60,4,8,72,10,65,55,50,85,64,62,31,61,59,15,84,62,64,13
34,55,78,41,39,8,68,76,73,48,74,40,75,92,71,4,20,83,5,40,99
35,89,47,35,50,35,11,20,39,90,13,64,51,42,98,93,84,96,36,79,64
36,90,48,7,16,79,91,43,63,25,66,81,74,95,46,59,57,16,95,25,62
37,92,10,32,33,8,24,7,15,85,40,77,59,11,64,3,30,9,78,70,22
38,2,39,19,7,51,99,74,70,96,87,64,43,83,23,1,92,45,7,83,96
39,7,40,48,35,88,49,15,59,56,47,40,69,22,67,77,35,1,16,14,93
40,53,74,52,81,96,37,69,96,6,99,16,71,31,77,63,88,88,59,36,4
41,52,40,37,72,3,65,97,87,52,88,46,97,57,96,82,94,52,75,56,35
42,11,26,97,35,77,30,33,44,85,34,25,85,47,74,61,51,12,19,36,9
43,86,30,56,80,9,79,56,6,64,45,17,68,90,16,32,89,14,77,75,76
44,82,74,68,9,98,64,61,48,36,22,49,93,7,49,53,53,39,8,51,22
45,83,88,98,22,96,3,1,61,19,39,14,74,45,8,37,21,54,78,88,68
46,89,97,2,42,14,29,67,27,15,49,26,10,47,97,24,44,94,40,79,33
47,48,93,79,29,85,99,18,2,2,53,4,95,93,83,36,54,74,83,56,79
48,26,63,17,80,67,93,3,14,46,65,40,28,81,87,21,1,53,56,63,43
49,29,76,90,79,74,19,85,32,15,96,29,7,68,43,8,45,12,46,83,42
50,3,27,34,11,15,88,84,76,51,87,42,68,28,56,98,59,41,43,69,84
51,69,19,36,2,8,26,91,72,39,29,71,86,92,27,27,35,15,41,29,63
52,25,83,87,82,23,34,55,87,86,18,53,88,35,26,53,90,8,83,91,22
53,46,12,84,84,92,27,78,32,57,71,59,33,64,91,29,68,43,54,66,68
54,98,81,3,47,91,87,3,72,41,52,63,62,56,96,94,45,95,29,18,9
55,84,80,4,94,73,42,49,75,73,78,23,49,89,18,33,15,79,82,60,63
56,49,58,49,73,29,5,10,85,10,28,74,11,39,73,87,83,43,68,62,67
57,45,98,97,67,31,28,79,48,99,27,23,39,35,81,49,89,22,68,39,51
58,3,50,66,25,86,48,74,3,65,71,81,70,80,59,72,39,84,61,53,39
59,68,92,55,9,70,6,35,81,69,92,97,84,28,69,16,91,89,18,26,22
60,46,25,37,37,17,74,88,29,83,40,99,53,12,93,29,23,41,34,93,77
61,53,42,30,83,27,9,82,46,11,70,8,49,5,9,72,67,33,26,21,93
62,33,33,28,83,30,9,33,73,19,52,44,47,63,14,69,42,31,54,89,75
63,67,35,85,75,17,75,49,62,7,62,14,71,21,35,11,94,18,96,72,74
64,61,18,20,40,91,9,26,86,72,25,16,49,65,83,47,62,28,66,26,34
65,96,82,7,35,57,25,65,91,7,53,27,48,89,49,3,86,80,42,81,26
66,68,62,51,14,5,92,85,67,17,83,44,28,3,27,83,37,25,76,87,7
67,91,49,63,33,31,38,66,99,97,74,50,45,20,73,73,27,63,21,47,74
68,66,16,86,92,31,22,47,79,33,14,59,71,78,57,80,48,33,82,43,39
69,89,37,24,1,23,83,1,29,80,2,65,38,11,41,90,26,27,86,58,29
70,71,24,14,25,35,70,70,6,91,90,77,64,43,83,1,60,57,64,62,39
71,91,98,48,74,75,85,34,64,14,29,35,75,46,85,26,42,3,74,16,86
72,63,19,28,62,30,34,94,9,12,67,31,79,22,90,51,99,89,61,46,85
73,64,59,76,40,97,99,10,91,69,99,79,71,62,69,1,61,35,92,68,34
74,80,17,49,47,42,58,61,17,80,5,31,51,85,77,4,18,42,11,49,66
75,38,68,69,19,86,65,25,3,27,4,38,90,50,4,51,57,14,13,49,63
76,86,33,76,61,19,10,7,9,88,45,61,70,29,60,87,9,64,31,14,15
77,19,94,37,53,64,57,65,45,20,73,8,98,68,13,61,69,89,50,41,2
78,4,33,62,3,18,49,51,98,39,54,92,96,14,76,72,7,41,8,27,76
79,74,24,39,14,35,46,56,88,21,63,26,28,48,52,73,44,92,13,41,45
