JobID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
1,93,58,51,57,42,19,5,76,2,5,6,89,85,20,45,5,55,72,34,16
2,87,48,41,5,18,25,69,57,59,79,68,66,66,53,92,37,10,7,64,65
3,3,39,71,39,90,82,85,12,47,75,59,77,68,5,34,20,38,51,65,78
4,37,97,39,36,33,30,34,50,89,43,42,45,66,85,46,40,81,27,21,99
5,61,43,76,12,78,64,5,79,63,98,60,39,93,63,90,71,52,1,35,87
6,19,34,45,72,50,68,81,86,11,17,60,90,56,39,95,34,93,57,55,79
7,90,24,50,30,16,7,52,95,41,38,12,66,54,25,68,22,72,37,92,97
8,34,78,22,12,15,8,18,63,72,54,82,37,55,98,46,4,23,92,96,84
9,50,97,12,79,91,80,68,72,45,14,29,67,91,46,13,56,89,18,21,22
10,65,32,20,11,63,59,94,78,49,84,74,48,27,17,39,96,18,10,7,20
11,97,1,66,45,89,48,19,46,51,70,35,9,91,87,80,11,87,61,97,78
12,46,63,73,66,56,7,28,82,20,57,23,8,38,50,61,32,79,81,43,74
13,67,90,89,59,16,72,55,58,17,73,13,9,67,29,59,5,21,72,16,36
14,62,76,35,73,51,17,53,60,75,25,5,97,90,87,91,21,66,29,81,84
15,29,99,95,48,6,19,78,65,6,85,8,22,22,6,23,58,81,9,18,11
16,17,33,4,64,9,96,26,88,81,11,71,35,81,24,51,29,96,54,97,35
17,72,4,10,59,22,5,59,19,61,70,75,20,42,36,45,87,2,99,85,93
18,57,8,64,55,34,99,5,41,77,30,11,84,79,55,41,20,43,12,10,39
19,5,85,91,67,28,57,73,29,81,6,39,20,13,42,36,71,30,83,43,47
20,74,95,7,61,82,91,54,16,22,5,80,95,22,1,76,33,63,26,85,90
21,83,73,37,18,50,84,66,88,10,85,99,79,41,24,83,51,24,68,73,84
22,74,26,45,33,96,66,23,60,55,6,56,64,9,42,84,40,68,93,4,75
