"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 02","78,000","77,600","78,600","77,300","18.67M","0.65%"
"2024- 04- 30","77,500","77,000","78,400","76,600","18.82M","1.04%"
"2024- 04- 29","76,700","77,400","77,600","76,200","14.25M","0.00%"
"2024- 04- 26","76,700","77,800","77,900","76,500","12.23M","0.52%"
"2024- 04- 25","76,300","77,300","77,500","76,300","15.39M","-2.93%"
"2024- 04- 24","78,600","77,500","78,800","77,200","21.80M","4.11%"
"2024- 04- 23","75,500","76,400","76,800","75,500","18.04M","-0.79%"
"2024- 04- 22","76,100","77,400","77,500","75,100","30.17M","-1.93%"
"2024- 04- 19","77,600","78,300","78,700","76,300","31.20M","-2.51%"
"2024- 04- 18","79,600","78,800","80,100","78,300","19.80M","0.89%"
"2024- 04- 17","78,900","80,700","80,800","78,900","22.26M","-1.38%"
"2024- 04- 16","80,000","81,200","81,300","79,400","31.02M","-2.68%"
"2024- 04- 15","82,200","82,900","83,200","81,200","26.11M","-1.79%"
"2024- 04- 12","83,700","84,700","84,900","83,200","16.96M","-0.48%"
"2024- 04- 11","84,100","83,200","84,700","82,500","25.34M","0.60%"
"2024- 04- 09","83,600","84,500","84,900","83,100","18.34M","-1.07%"
"2024- 04- 08","84,500","85,200","86,000","84,500","18.50M","0.00%"
"2024- 04- 05","84,500","84,500","85,000","83,800","18.77M","-0.94%"
"2024- 04- 04","85,300","85,200","85,500","84,300","24.81M","1.43%"
"2024- 04- 03","84,100","84,300","85,000","83,500","30.14M","-1.06%"
"2024- 04- 02","85,000","82,900","85,000","82,900","36.81M","3.66%"
"2024- 04- 01","82,000","83,200","83,300","82,000","20.04M","-0.49%"
"2024- 03- 29","82,400","81,200","82,500","80,900","26.85M","1.98%"
"2024- 03- 28","80,800","79,400","81,000","79,200","24.85M","1.25%"
"2024- 03- 27","79,800","79,200","80,000","79,200","17.22M","-0.13%"
"2024- 03- 26","79,900","79,700","80,100","79,200","29.98M","2.17%"
"2024- 03- 25","78,200","79,600","79,800","77,800","18.63M","-0.89%"
"2024- 03- 22","78,900","79,600","79,900","77,800","26.61M","-0.50%"
"2024- 03- 21","79,300","79,200","79,300","77,700","44.36M","3.12%"
"2024- 03- 20","76,900","73,700","77,200","73,400","49.75M","5.63%"
"2024- 03- 19","72,800","72,300","73,000","71,700","15.29M","0.00%"
"2024- 03- 18","72,800","72,600","73,000","72,500","11.45M","0.69%"
"2024- 03- 17","72,300","73,400","72,300","72,300","0.80K","0.00%"
"2024- 03- 15","72,300","73,400","73,700","72,300","22.10M","-2.69%"
"2024- 03- 14","74,300","74,400","74,500","73,600","1.68K","0.27%"
"2024- 03- 13","74,100","73,600","74,100","73,600","33.16K","1.09%"
"2024- 03- 12","73,300","72,600","73,500","72,100","12.95M","1.24%"
"2024- 03- 11","72,400","72,900","73,100","72,300","0.81K","-1.23%"
"2024- 03- 10","73,300","73,300","73,300","73,300","","0.00%"
"2024- 03- 08","73,300","72,800","73,400","72,600","18.07M","1.52%"
"2024- 03- 07","72,200","73,200","73,300","72,200","0.01K","-0.96%"
"2024- 03- 06","72,900","73,300","73,500","72,700","0.26K","-1.09%"
"2024- 03- 05","73,700","74,500","74,800","73,700","2.22K","-1.60%"
"2024- 03- 04","74,900","74,200","75,000","74,000","7.14K","2.04%"
"2024- 03- 03","73,400","73,400","73,400","73,400","","0.00%"
"2024- 02- 29","73,400","72,600","73,400","72,000","20.45M","0.27%"
"2024- 02- 28","73,200","72,900","73,900","72,800","1.91K","0.41%"
"2024- 02- 27","72,900","73,100","73,400","72,700","0.40K","0.14%"
"2024- 02- 26","72,800","72,300","73,200","72,200","14.52M","-0.14%"
"2024- 02- 25","72,900","72,900","72,900","72,900","","0.00%"
"2024- 02- 23","72,900","73,600","74,200","72,900","16.00M","-0.27%"
"2024- 02- 22","73,100","73,900","73,900","72,700","0.15K","0.14%"
"2024- 02- 21","73,000","73,400","73,700","72,900","0.38K","-0.41%"
"2024- 02- 20","73,300","73,700","73,700","72,800","1.30K","-0.68%"
"2024- 02- 19","73,800","72,900","73,900","72,800","4.47K","1.37%"
"2024- 02- 18","72,800","72,800","72,800","72,800","","0.00%"
"2024- 02- 16","72,800","73,300","73,400","72,500","13.23M","-0.27%"
"2024- 02- 15","73,000","74,200","74,400","73,000","20.84K","-1.35%"
"2024- 02- 14","74,000","73,800","74,300","73,800","0.16K","-1.60%"
"2024- 02- 13","75,200","74,800","75,200","74,400","0.90K","1.48%"
"2024- 02- 12","74,100","74,100","74,100","74,100","","0.00%"
"2024- 02- 08","74,100","75,000","75,200","73,600","20.25M","-1.20%"
"2024- 02- 07","75,000","74,600","75,500","74,300","2.07K","0.81%"
"2024- 02- 06","74,400","74,300","74,700","73,300","13.94M","0.13%"
"2024- 02- 05","74,300","74,200","74,800","73,500","18.89M","-1.20%"
"2024- 02- 04","75,200","75,200","75,200","75,200","","0.00%"
"2024- 02- 02","75,200","74,000","75,200","73,700","14.85M","2.17%"
"2024- 02- 01","73,600","73,000","74,200","72,900","0.09K","1.24%"
"2024- 01- 31","72,700","73,500","74,000","72,500","4.69K","-2.15%"
"2024- 01- 30","74,300","75,000","75,300","73,700","1.26K","-0.13%"
"2024- 01- 29","74,400","73,800","75,200","73,500","0.02K","1.36%"
"2024- 01- 28","73,400","73,400","73,400","73,400","","0.00%"
"2024- 01- 26","73,400","73,700","74,500","73,300","10.98M","-0.94%"
"2024- 01- 25","74,100","74,300","74,800","73,700","2.73K","0.14%"
"2024- 01- 24","74,000","75,200","75,200","73,500","12.69M","-1.60%"
"2024- 01- 23","75,200","75,700","75,800","74,300","0.42K","0.13%"
"2024- 01- 22","75,100","75,900","76,000","75,000","19.62M","0.54%"
"2024- 01- 21","74,700","74,700","74,700","74,700","","0.00%"
"2024- 01- 19","74,700","73,500","74,700","73,000","23.20M","4.18%"
"2024- 01- 18","71,700","71,600","72,000","70,700","0.03K","0.99%"
"2024- 01- 17","71,000","73,100","73,300","71,000","1.11K","-2.20%"
"2024- 01- 16","72,600","73,500","73,700","72,500","11.96K","-1.76%"
"2024- 01- 15","73,900","73,200","74,000","73,200","12.97M","1.09%"
"2024- 01- 14","73,100","73,100","73,100","73,100","","0.00%"
"2024- 01- 12","73,100","73,000","74,100","72,800","12.97M","-0.14%"
"2024- 01- 11","73,200","73,000","73,600","72,800","2.26K","-0.54%"
"2024- 01- 10","73,600","74,900","75,200","73,200","3.95K","-1.47%"
"2024- 01- 09","74,700","77,400","77,700","74,300","3.26K","-2.35%"
"2024- 01- 08","76,500","76,900","77,500","76,400","0.44K","-0.13%"
"2024- 01- 07","76,600","76,600","76,600","76,600","","0.00%"
"2024- 01- 05","76,600","76,700","77,100","76,400","11.20M","0.00%"
"2024- 01- 04","76,600","76,400","77,300","76,200","0.18K","-0.52%"
"2024- 01- 03","77,000","78,600","78,700","77,000","1.27K","-3.27%"
"2024- 01- 02","79,600","78,500","79,800","78,200","2.09K","1.40%"
